provider,category,product,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Storage,Cloud Filestore,gcp_Cloud_Filestore,false,cloud,terminal,gcp_Cloud_Filestore,icons/GCP Icons/Products and services/Storage/Cloud Filestore.svg,,
Google Cloud Platform,Storage,Cloud Storage,gcp_Cloud_Storage,false,cloud,terminal,gcp_Cloud_Storage,icons/GCP Icons/Products and services/Storage/Cloud Storage.svg,,
Google Cloud Platform,Storage,Persistent Disk,gcp_Persistent_Disk,false,cloud,terminal,gcp_Persistent_Disk,icons/GCP Icons/Products and services/Storage/Persistent Disk.svg,,
Google Cloud Platform,Security,Cloud IAM,gcp_Cloud_IAM,false,cloud,terminal,gcp_Cloud_IAM,icons/GCP Icons/Products and services/Security/Cloud IAM.svg,,
Google Cloud Platform,Security,Cloud Resource Manager,gcp_Cloud_Resource_Manager,false,cloud,terminal,gcp_Cloud_Resource_Manager,icons/GCP Icons/Products and services/Security/Cloud Resource Manager.svg,,
Google Cloud Platform,Security,Cloud Security Command Center,gcp_Cloud_Security_Command_Center,false,cloud,terminal,gcp_Cloud_Security_Command_Center,icons/GCP Icons/Products and services/Security/Cloud Security Command Center.svg,,
Google Cloud Platform,Security,Cloud Security Scanner,gcp_Cloud_Security_Scanner,false,cloud,terminal,gcp_Cloud_Security_Scanner,icons/GCP Icons/Products and services/Security/Cloud Security Scanner.svg,,
Google Cloud Platform,Security,Key Management Service,gcp_Key_Management_Service,false,cloud,terminal,gcp_Key_Management_Service,icons/GCP Icons/Products and services/Security/Key Management Service.svg,,
Google Cloud Platform,Networking,Cloud Armor,gcp_Cloud_Armor,false,cloud,terminal,gcp_Cloud_Armor,icons/GCP Icons/Products and services/Networking/Cloud Armor.svg,,
Google Cloud Platform,Networking,Cloud CDN,gcp_Cloud_CDN,false,cloud,terminal,gcp_Cloud_CDN,icons/GCP Icons/Products and services/Networking/Cloud CDN.svg,,
Google Cloud Platform,Networking,Cloud DNS,gcp_Cloud_DNS,false,cloud,terminal,gcp_Cloud_DNS,icons/GCP Icons/Products and services/Networking/Cloud DNS.svg,,
Google Cloud Platform,Networking,Cloud External IP Addresses,gcp_Cloud_External_IP_Addresses,false,cloud,terminal,gcp_Cloud_External_IP_Addresses,icons/GCP Icons/Products and services/Networking/Cloud External IP Addresses.svg,,
Google Cloud Platform,Networking,Cloud Firewall Rules,gcp_Cloud_Firewall_Rules,false,cloud,terminal,gcp_Cloud_Firewall_Rules,icons/GCP Icons/Products and services/Networking/Cloud Firewall Rules.svg,,
Google Cloud Platform,Networking,Cloud Load Balancing,gcp_Cloud_Load_Balancing,false,cloud,terminal,gcp_Cloud_Load_Balancing,icons/GCP Icons/Products and services/Networking/Cloud Load Balancing.svg,,
Google Cloud Platform,Networking,Cloud NAT,gcp_Cloud_NAT,false,cloud,terminal,gcp_Cloud_NAT,icons/GCP Icons/Products and services/Networking/Cloud NAT.svg,,
Google Cloud Platform,Networking,Cloud Network,gcp_Cloud_Network,false,cloud,terminal,gcp_Cloud_Network,icons/GCP Icons/Products and services/Networking/Cloud Network.svg,,
Google Cloud Platform,Networking,Cloud Router,gcp_Cloud_Router,false,cloud,terminal,gcp_Cloud_Router,icons/GCP Icons/Products and services/Networking/Cloud Router.svg,,
Google Cloud Platform,Networking,Cloud Routes,gcp_Cloud_Routes,false,cloud,terminal,gcp_Cloud_Routes,icons/GCP Icons/Products and services/Networking/Cloud Routes.svg,,
Google Cloud Platform,Networking,Cloud VPN,gcp_Cloud_VPN,false,cloud,terminal,gcp_Cloud_VPN,icons/GCP Icons/Products and services/Networking/Cloud VPN.svg,,
Google Cloud Platform,Networking,Dedicated Interconnect,gcp_Dedicated_Interconnect,false,cloud,terminal,gcp_Dedicated_Interconnect,icons/GCP Icons/Products and services/Networking/Dedicated Interconnect.svg,,
Google Cloud Platform,Networking,Partner Interconnect,gcp_Partner_Interconnect,false,cloud,terminal,gcp_Partner_Interconnect,icons/GCP Icons/Products and services/Networking/Partner Interconnect.svg,,
Google Cloud Platform,Networking,Premium Network Tier,gcp_Premium_Network_Tier,false,cloud,terminal,gcp_Premium_Network_Tier,icons/GCP Icons/Products and services/Networking/Premium Network Tier.svg,,
Google Cloud Platform,Networking,Standard Network Tier,gcp_Standard_Network_Tier,false,cloud,terminal,gcp_Standard_Network_Tier,icons/GCP Icons/Products and services/Networking/Standard Network Tier.svg,,
Google Cloud Platform,Networking,Traffic Director,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP Icons/Products and services/Networking/Traffic Director.svg,,
Google Cloud Platform,Networking,Virtual Private Cloud,gcp_Virtual_Private_Cloud,false,cloud,terminal,gcp_Virtual_Private_Cloud,icons/GCP Icons/Products and services/Networking/Virtual Private Cloud.svg,,
Google Cloud Platform,Migration,Transfer Appliance,gcp_Transfer_Appliance,false,cloud,terminal,gcp_Transfer_Appliance,icons/GCP Icons/Products and services/Migration/Transfer Appliance.svg,,
Google Cloud Platform,Management Tools,Cloud APIs,gcp_Cloud_APIs,false,cloud,terminal,gcp_Cloud_APIs,icons/GCP Icons/Products and services/Management Tools/Cloud APIs.svg,,
Google Cloud Platform,Management Tools,Cloud Billing API,gcp_Cloud_Billing_API,false,cloud,terminal,gcp_Cloud_Billing_API,icons/GCP Icons/Products and services/Management Tools/Cloud Billing API.svg,,
Google Cloud Platform,Management Tools,Cloud Console,gcp_Cloud_Console,false,cloud,terminal,gcp_Cloud_Console,icons/GCP Icons/Products and services/Management Tools/Cloud Console.svg,,
Google Cloud Platform,Management Tools,Cloud Deployment Manager,gcp_Cloud_Deployment_Manager,false,cloud,terminal,gcp_Cloud_Deployment_Manager,icons/GCP Icons/Products and services/Management Tools/Cloud Deployment Manager.svg,,
Google Cloud Platform,Management Tools,Cloud Mobile App,gcp_Cloud_Mobile_App,false,cloud,terminal,gcp_Cloud_Mobile_App,icons/GCP Icons/Products and services/Management Tools/Cloud Mobile App.svg,,
Google Cloud Platform,Management Tools,Cloud Service Mesh,gcp_Cloud_Service_Mesh,false,cloud,terminal,gcp_Cloud_Service_Mesh,icons/GCP Icons/Products and services/Management Tools/Cloud Service Mesh.svg,,
Google Cloud Platform,Management Tools,Cloud Shell,gcp_Cloud_Shell,false,cloud,terminal,gcp_Cloud_Shell,icons/GCP Icons/Products and services/Management Tools/Cloud Shell.svg,,
Google Cloud Platform,Management Tools,Debugger,gcp_Debugger,false,cloud,terminal,gcp_Debugger,icons/GCP Icons/Products and services/Management Tools/Debugger.svg,,
Google Cloud Platform,Management Tools,Error Reporting,gcp_Error_Reporting,false,cloud,terminal,gcp_Error_Reporting,icons/GCP Icons/Products and services/Management Tools/Error Reporting.svg,,
Google Cloud Platform,Management Tools,Logging,gcp_Logging,false,cloud,terminal,gcp_Logging,icons/GCP Icons/Products and services/Management Tools/Logging.svg,,
Google Cloud Platform,Management Tools,Monitoring,gcp_Monitoring,false,cloud,terminal,gcp_Monitoring,icons/GCP Icons/Products and services/Management Tools/Monitoring.svg,,
Google Cloud Platform,Management Tools,Profiler,gcp_Profiler,false,cloud,terminal,gcp_Profiler,icons/GCP Icons/Products and services/Management Tools/Profiler.svg,,
Google Cloud Platform,Management Tools,Stackdriver,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP Icons/Products and services/Management Tools/Stackdriver.svg,,
Google Cloud Platform,Management Tools,Trace,gcp_Trace,false,cloud,terminal,gcp_Trace,icons/GCP Icons/Products and services/Management Tools/Trace.svg,,
Google Cloud Platform,Internet of Things,Cloud IoT Core,gcp_Cloud_IoT_Core,false,cloud,terminal,gcp_Cloud_IoT_Core,icons/GCP Icons/Products and services/Internet of Things/Cloud IoT Core.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,Stackdriver,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Stackdriver.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,Traffic Director,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Traffic Director.svg,,
Google Cloud Platform,Developer Tools,Cloud Build,gcp_Cloud_Build,false,cloud,terminal,gcp_Cloud_Build,icons/GCP Icons/Products and services/Developer Tools/Cloud Build.svg,,
Google Cloud Platform,Developer Tools,Cloud Code for IntelliJ,gcp_Cloud_Code_for_IntelliJ,false,cloud,terminal,gcp_Cloud_Code_for_IntelliJ,icons/GCP Icons/Products and services/Developer Tools/Cloud Code for IntelliJ.svg,,
Google Cloud Platform,Developer Tools,Cloud Code,gcp_Cloud_Code,false,cloud,terminal,gcp_Cloud_Code,icons/GCP Icons/Products and services/Developer Tools/Cloud Code.svg,,
Google Cloud Platform,Developer Tools,Cloud Scheduler,gcp_Cloud_Scheduler,false,cloud,terminal,gcp_Cloud_Scheduler,icons/GCP Icons/Products and services/Developer Tools/Cloud Scheduler.svg,,
