provider,category,product,dsl,kind,tagName,iconURL,typeURI,docURL
GCP,Storage,Cloud Filestore,gcp_Cloud_Filestore,resource,gcp_Cloud_Filestore,assets/icons/GCP Icons/Products and services/Storage/Cloud Filestore.svg,,
GCP,Storage,Cloud Storage,gcp_Cloud_Storage,resource,gcp_Cloud_Storage,assets/icons/GCP Icons/Products and services/Storage/Cloud Storage.svg,,
GCP,Storage,Persistent Disk,gcp_Persistent_Disk,resource,gcp_Persistent_Disk,assets/icons/GCP Icons/Products and services/Storage/Persistent Disk.svg,,
GCP,Security,Cloud IAM,gcp_Cloud_IAM,resource,gcp_Cloud_IAM,assets/icons/GCP Icons/Products and services/Security/Cloud IAM.svg,,
GCP,Security,Cloud Resource Manager,gcp_Cloud_Resource_Manager,resource,gcp_Cloud_Resource_Manager,assets/icons/GCP Icons/Products and services/Security/Cloud Resource Manager.svg,,
GCP,Security,Cloud Security Command Center,gcp_Cloud_Security_Command_Center,resource,gcp_Cloud_Security_Command_Center,assets/icons/GCP Icons/Products and services/Security/Cloud Security Command Center.svg,,
GCP,Security,Cloud Security Scanner,gcp_Cloud_Security_Scanner,resource,gcp_Cloud_Security_Scanner,assets/icons/GCP Icons/Products and services/Security/Cloud Security Scanner.svg,,
GCP,Security,Key Management Service,gcp_Key_Management_Service,resource,gcp_Key_Management_Service,assets/icons/GCP Icons/Products and services/Security/Key Management Service.svg,,
GCP,Networking,Cloud Armor,gcp_Cloud_Armor,resource,gcp_Cloud_Armor,assets/icons/GCP Icons/Products and services/Networking/Cloud Armor.svg,,
GCP,Networking,Cloud CDN,gcp_Cloud_CDN,resource,gcp_Cloud_CDN,assets/icons/GCP Icons/Products and services/Networking/Cloud CDN.svg,,
GCP,Networking,Cloud DNS,gcp_Cloud_DNS,resource,gcp_Cloud_DNS,assets/icons/GCP Icons/Products and services/Networking/Cloud DNS.svg,,
GCP,Networking,Cloud External IP Addresses,gcp_Cloud_External_IP_Addresses,resource,gcp_Cloud_External_IP_Addresses,assets/icons/GCP Icons/Products and services/Networking/Cloud External IP Addresses.svg,,
GCP,Networking,Cloud Firewall Rules,gcp_Cloud_Firewall_Rules,resource,gcp_Cloud_Firewall_Rules,assets/icons/GCP Icons/Products and services/Networking/Cloud Firewall Rules.svg,,
GCP,Networking,Cloud Load Balancing,gcp_Cloud_Load_Balancing,resource,gcp_Cloud_Load_Balancing,assets/icons/GCP Icons/Products and services/Networking/Cloud Load Balancing.svg,,
GCP,Networking,Cloud NAT,gcp_Cloud_NAT,resource,gcp_Cloud_NAT,assets/icons/GCP Icons/Products and services/Networking/Cloud NAT.svg,,
GCP,Networking,Cloud Network,gcp_Cloud_Network,resource,gcp_Cloud_Network,assets/icons/GCP Icons/Products and services/Networking/Cloud Network.svg,,
GCP,Networking,Cloud Router,gcp_Cloud_Router,resource,gcp_Cloud_Router,assets/icons/GCP Icons/Products and services/Networking/Cloud Router.svg,,
GCP,Networking,Cloud Routes,gcp_Cloud_Routes,resource,gcp_Cloud_Routes,assets/icons/GCP Icons/Products and services/Networking/Cloud Routes.svg,,
GCP,Networking,Cloud VPN,gcp_Cloud_VPN,resource,gcp_Cloud_VPN,assets/icons/GCP Icons/Products and services/Networking/Cloud VPN.svg,,
GCP,Networking,Dedicated Interconnect,gcp_Dedicated_Interconnect,resource,gcp_Dedicated_Interconnect,assets/icons/GCP Icons/Products and services/Networking/Dedicated Interconnect.svg,,
GCP,Networking,Partner Interconnect,gcp_Partner_Interconnect,resource,gcp_Partner_Interconnect,assets/icons/GCP Icons/Products and services/Networking/Partner Interconnect.svg,,
GCP,Networking,Premium Network Tier,gcp_Premium_Network_Tier,resource,gcp_Premium_Network_Tier,assets/icons/GCP Icons/Products and services/Networking/Premium Network Tier.svg,,
GCP,Networking,Standard Network Tier,gcp_Standard_Network_Tier,resource,gcp_Standard_Network_Tier,assets/icons/GCP Icons/Products and services/Networking/Standard Network Tier.svg,,
GCP,Networking,Traffic Director,gcp_Traffic_Director,resource,gcp_Traffic_Director,assets/icons/GCP Icons/Products and services/Networking/Traffic Director.svg,,
GCP,Networking,Virtual Private Cloud,gcp_Virtual_Private_Cloud,resource,gcp_Virtual_Private_Cloud,assets/icons/GCP Icons/Products and services/Networking/Virtual Private Cloud.svg,,
GCP,Migration,Transfer Appliance,gcp_Transfer_Appliance,resource,gcp_Transfer_Appliance,assets/icons/GCP Icons/Products and services/Migration/Transfer Appliance.svg,,
GCP,Management Tools,Cloud APIs,gcp_Cloud_APIs,resource,gcp_Cloud_APIs,assets/icons/GCP Icons/Products and services/Management Tools/Cloud APIs.svg,,
GCP,Management Tools,Cloud Billing API,gcp_Cloud_Billing_API,resource,gcp_Cloud_Billing_API,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Billing API.svg,,
GCP,Management Tools,Cloud Console,gcp_Cloud_Console,resource,gcp_Cloud_Console,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Console.svg,,
GCP,Management Tools,Cloud Deployment Manager,gcp_Cloud_Deployment_Manager,resource,gcp_Cloud_Deployment_Manager,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Deployment Manager.svg,,
GCP,Management Tools,Cloud Mobile App,gcp_Cloud_Mobile_App,resource,gcp_Cloud_Mobile_App,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Mobile App.svg,,
GCP,Management Tools,Cloud Service Mesh,gcp_Cloud_Service_Mesh,resource,gcp_Cloud_Service_Mesh,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Service Mesh.svg,,
GCP,Management Tools,Cloud Shell,gcp_Cloud_Shell,resource,gcp_Cloud_Shell,assets/icons/GCP Icons/Products and services/Management Tools/Cloud Shell.svg,,
GCP,Management Tools,Debugger,gcp_Debugger,resource,gcp_Debugger,assets/icons/GCP Icons/Products and services/Management Tools/Debugger.svg,,
GCP,Management Tools,Error Reporting,gcp_Error_Reporting,resource,gcp_Error_Reporting,assets/icons/GCP Icons/Products and services/Management Tools/Error Reporting.svg,,
GCP,Management Tools,Logging,gcp_Logging,resource,gcp_Logging,assets/icons/GCP Icons/Products and services/Management Tools/Logging.svg,,
GCP,Management Tools,Monitoring,gcp_Monitoring,resource,gcp_Monitoring,assets/icons/GCP Icons/Products and services/Management Tools/Monitoring.svg,,
GCP,Management Tools,Profiler,gcp_Profiler,resource,gcp_Profiler,assets/icons/GCP Icons/Products and services/Management Tools/Profiler.svg,,
GCP,Management Tools,Stackdriver,gcp_Stackdriver,resource,gcp_Stackdriver,assets/icons/GCP Icons/Products and services/Management Tools/Stackdriver.svg,,
GCP,Management Tools,Trace,gcp_Trace,resource,gcp_Trace,assets/icons/GCP Icons/Products and services/Management Tools/Trace.svg,,
GCP,Internet of Things,Cloud IoT Core,gcp_Cloud_IoT_Core,resource,gcp_Cloud_IoT_Core,assets/icons/GCP Icons/Products and services/Internet of Things/Cloud IoT Core.svg,,
GCP,Developer Tools,Cloud Build,gcp_Cloud_Build,resource,gcp_Cloud_Build,assets/icons/GCP Icons/Products and services/Developer Tools/Cloud Build.svg,,
