provider,category,product,dsl,kind,tagName,iconURL,typeURI,docURL
GCP,,Compute Engine,gcp_Compute_Engine,resource,gcp_Compute_Engine,https://www.gstatic.com/cloud/images/navigation/icons.svg#computeengine,,https://cloud.google.com/compute
GCP,,Cloud Storage,gcp_Cloud_Storage,resource,gcp_Cloud_Storage,https://www.gstatic.com/cloud/images/navigation/icons.svg#cloudstorage,,https://cloud.google.com/storage
GCP,,Cloud SDK,gcp_Cloud_SDK,resource,gcp_Cloud_SDK,https://www.gstatic.com/cloud/images/navigation/icons.svg#cloudshell,,https://cloud.google.com/sdk
GCP,,Cloud SQL,gcp_Cloud_SQL,resource,gcp_Cloud_SQL,https://www.gstatic.com/cloud/images/navigation/icons.svg#cloudsql,,https://cloud.google.com/sql
GCP,,Google Kubernetes Engine,gcp_Google_Kubernetes_Engine,resource,gcp_Google_Kubernetes_Engine,https://www.gstatic.com/cloud/images/navigation/icons.svg#kubernetesengine,,https://cloud.google.com/kubernetes-engine
GCP,,BigQuery,gcp_BigQuery,resource,gcp_BigQuery,https://www.gstatic.com/cloud/images/navigation/icons.svg#bigquery,,https://cloud.google.com/bigquery
GCP,,Cloud CDN,gcp_Cloud_CDN,resource,gcp_Cloud_CDN,https://www.gstatic.com/cloud/images/navigation/icons.svg#cloudcdn,,https://cloud.google.com/cdn
GCP,,Dataflow,gcp_Dataflow,resource,gcp_Dataflow,https://www.gstatic.com/cloud/images/navigation/icons.svg#clouddataflow,,https://cloud.google.com/dataflow
GCP,,Operations,gcp_Operations,resource,gcp_Operations,https://www.gstatic.com/cloud/images/navigation/icons.svg#stackdriver,,https://cloud.google.com/products/operations
GCP,,Cloud Run,gcp_Cloud_Run,resource,gcp_Cloud_Run,https://www.gstatic.com/cloud/images/navigation/icons.svg#cloudrun,,https://cloud.google.com/run
GCP,,Anthos,gcp_Anthos,resource,gcp_Anthos,https://www.gstatic.com/cloud/images/navigation/icons.svg#anthos,,https://cloud.google.com/anthos
GCP,,See all products (100+),gcp_See_all_products__100__,resource,gcp_See_all_products__100__,,,https://cloud.google.com/products
GCP,AI and Machine Learning,Vertex AI,gcp_Vertex_AI,resource,gcp_Vertex_AI,https://www.gstatic.com/cloud/images/navigation/vertex-ai.svg,,https://cloud.google.com/vertex-ai
